"excel_row_number","product_name","size","sku","alternate_sku","transformed_sku","excel_inventory","excel_selling_price","shopify_product_title","shopify_variant_title","shopify_sku","current_shopify_inventory","shopify_variant_price","delta","action_taken","status","reason"
"59","Armani Exchange Polo","XXL","ARX-13-SSPOPO_MIX-BWH|XXL","ARX-13-SSPOPO_MIX-BWH|Black|XXL","ARX-13-SSPOPO_MIX-BWH-XXL","1","1499","Armani Exchange | Polo | Black","XXL","ARX-13-SSPOPO_MIX-BWH-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"60","Armani Exchange Polo","S","ARX-14-SSPOPO_MIX-BLB|S","ARX-14-SSPOPO_MIX-BLB|Blue|S","ARX-14-SSPOPO_MIX-BLB-S","2","1499","Armani Exchange | Polo | Blue","S","ARX-14-SSPOPO_MIX-BLB-S","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"61","Armani Exchange Polo","M","ARX-14-SSPOPO_MIX-BLB|M","ARX-14-SSPOPO_MIX-BLB|Blue|M","ARX-14-SSPOPO_MIX-BLB-M","2","1499","Armani Exchange | Polo | Blue","M","ARX-14-SSPOPO_MIX-BLB-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"62","Armani Exchange Polo","L","ARX-14-SSPOPO_MIX-BLB|L","ARX-14-SSPOPO_MIX-BLB|Blue|L","ARX-14-SSPOPO_MIX-BLB-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: ARX-14-SSPOPO_MIX-BLB-M | ARX-14-SSPOPO_MIX-BLB-S | ARX-14-SSPOPO_MIX-BLB-XL | ARX-14-SSPOPO_MIX-BLB-XXL"
"63","Armani Exchange Polo","XL","ARX-14-SSPOPO_MIX-BLB|XL","ARX-14-SSPOPO_MIX-BLB|Blue|XL","ARX-14-SSPOPO_MIX-BLB-XL","2","1499","Armani Exchange | Polo | Blue","XL","ARX-14-SSPOPO_MIX-BLB-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"64","Armani Exchange Polo","XXL","ARX-14-SSPOPO_MIX-BLB|XXL","ARX-14-SSPOPO_MIX-BLB|Blue|XXL","ARX-14-SSPOPO_MIX-BLB-XXL","1","1499","Armani Exchange | Polo | Blue","XXL","ARX-14-SSPOPO_MIX-BLB-XXL","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"65","Armani Exchange Polo","S","ARX-15-SSPOPO_MIX-GRY|S","ARX-15-SSPOPO_MIX-GRY|Grey|S","ARX-15-SSPOPO_MIX-GRY-S","1","1499","Armani Exchange | Polo | Grey","S","ARX-15-SSPOPO_MIX-GRY-S","1","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"66","Armani Exchange Polo","M","ARX-15-SSPOPO_MIX-GRY|M","ARX-15-SSPOPO_MIX-GRY|Grey|M","ARX-15-SSPOPO_MIX-GRY-M","2","1499","Armani Exchange | Polo | Grey","M","ARX-15-SSPOPO_MIX-GRY-M","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
"67","Armani Exchange Polo","L","ARX-15-SSPOPO_MIX-GRY|L","ARX-15-SSPOPO_MIX-GRY|Grey|L","ARX-15-SSPOPO_MIX-GRY-L","2","1499","","","","","","","UNMATCHED","UNMATCHED","No exact Shopify SKU matched. Related Shopify SKUs found: ARX-15-SSPOPO_MIX-GRY-M | ARX-15-SSPOPO_MIX-GRY-S | ARX-15-SSPOPO_MIX-GRY-XL | ARX-15-SSPOPO_MIX-GRY-XXL"
"68","Armani Exchange Polo","XL","ARX-15-SSPOPO_MIX-GRY|XL","ARX-15-SSPOPO_MIX-GRY|Grey|XL","ARX-15-SSPOPO_MIX-GRY-XL","2","1499","Armani Exchange | Polo | Grey","XL","ARX-15-SSPOPO_MIX-GRY-XL","2","1499","0","MATCHED_NO_CHANGE","MATCHED_NO_CHANGE","Matched variant already has the target inventory"
